delta (tons),DWT (tons),Cargo wt (tons),Cargo Wt(kg),Cargo Energy(MWh),Brake Power(kW),Speed (m/s),Travel Time stillwater (hours),Travel Time 1mps current (hours),Travel Time 2mps current (hours),Travel Time 3mps current (hours),Stillwater Energy(MWh),1mps Energy(MWh),2mps Energy(MWh),3mps Energy (MWh)
90,64.28571429,32.14285714,32143,3,50,5,27.78,28.94,33.07,43.4,1.39,1.45,1.65,2.17
100,71.42857143,35.71428571,35714,4,53,5,27.78,28.94,33.07,43.4,1.47,1.53,1.75,2.3
150,107.1428571,53.57142857,53571,5,65,5,27.78,28.94,33.07,43.4,1.81,1.88,2.15,2.82
170,121.4285714,60.71428571,60714,6,70,5,27.78,28.94,33.07,43.4,1.94,2.03,2.31,3.04
200,142.8571429,71.42857143,71429,7,75,5,27.78,28.94,33.07,43.4,2.08,2.17,2.48,3.26
220,157.1428571,78.57142857,78571,8,80,5,27.78,28.94,33.07,43.4,2.22,2.32,2.65,3.47
280,200,100,100000,10,90,5,27.78,28.94,33.07,43.4,2.5,2.6,2.98,3.91
350,250,125,125000,13,100,5,27.78,28.94,33.07,43.4,2.78,2.89,3.31,4.34
400,285.7142857,142.8571429,142857,14,110,5,27.78,28.94,33.07,43.4,3.06,3.18,3.64,4.77
500,357.1428571,178.5714286,178571,18,125,5,27.78,28.94,33.07,43.4,3.47,3.62,4.13,5.43
600,428.5714286,214.2857143,214286,21,140,5,27.78,28.94,33.07,43.4,3.89,4.05,4.63,6.08
700,500,250,250000,25,150,5,27.78,28.94,33.07,43.4,4.17,4.34,4.96,6.51
800,571.4285714,285.7142857,285714,29,160,5,27.78,28.94,33.07,43.4,4.44,4.63,5.29,6.94
900,642.8571429,321.4285714,321429,32,170,5,27.78,28.94,33.07,43.4,4.72,4.92,5.62,7.38
1000,714.2857143,357.1428571,357143,36,180,5,27.78,28.94,33.07,43.4,5,5.21,5.95,7.81
1500,1071.428571,535.7142857,535714,54,220,5,27.78,28.94,33.07,43.4,6.11,6.37,7.28,9.55
2000,1428.571429,714.2857143,714286,71,260,5,27.78,28.94,33.07,43.4,7.22,7.52,8.6,11.28
2400,1714.285714,857.1428571,857143,86,280,5,27.78,28.94,33.07,43.4,7.78,8.1,9.26,12.15
2600,1857.142857,928.5714286,928571,93,300,5,27.78,28.94,33.07,43.4,8.33,8.68,9.92,13.02
3000,2142.857143,1071.428571,1071429,107,325,5,27.78,28.94,33.07,43.4,9.03,9.41,10.75,14.11
3500,2500,1250,1250000,125,350,5,27.78,28.94,33.07,43.4,9.72,10.13,11.57,15.19
4000,2857.142857,1428.571429,1428571,143,375,5,27.78,28.94,33.07,43.4,10.42,10.85,12.4,16.28
5000,3571.428571,1785.714286,1785714,179,420,5,27.78,28.94,33.07,43.4,11.67,12.15,13.89,18.23
7000,5000,2500,2500000,250,500,5,27.78,28.94,33.07,43.4,13.89,14.47,16.54,21.7
10000,7142.857143,3571.428571,3571429,357,600,5,27.78,28.94,33.07,43.4,16.67,17.36,19.84,26.04
20000,14285.71429,7142.857143,7142857,714,900,5,27.78,28.94,33.07,43.4,25,26.05,29.76,39.06
30000,21428.57143,10714.28571,10714286,1071,1100,5,27.78,28.94,33.07,43.4,30.56,31.83,36.38,47.74
40000,28571.42857,14285.71429,14285714,1429,1300,5,27.78,28.94,33.07,43.4,36.11,37.62,42.99,56.42
50000,35714.28571,17857.14286,17857143,1786,1400,5,27.78,28.94,33.07,43.4,38.89,40.52,46.3,60.76
100000,71428.57143,35714.28571,35714286,3571,2100,5,27.78,28.94,33.07,43.4,58.34,60.77,69.45,91.14
200000,142857.1429,71428.57143,71428571,7143,3000,5,27.78,28.94,33.07,43.4,83.34,86.82,99.21,130.2
350000,250000,125000,125000000,12500,4000,5,27.78,28.94,33.07,43.4,111.12,115.76,132.28,173.6
500000,357142.8571,178571.4286,178571429,17857,5000,5,27.78,28.94,33.07,43.4,138.9,144.7,165.35,217
